dataset.max_df,dataset.min_df,dataset.window_size,dirichlet_loss,div_loss,fcm.embed_dim,fcm.eta,fcm.hidden_size,fcm.inductive,fcm.inductive_dropout,fcm.lam,fcm.nconcepts,fcm.nnegs,fcm.num_layers,fcm.rho,fit.batch_size,fit.grad_clip,fit.lr,fit.nepochs,fit.pred_only_epochs,id,pred_loss,run_time,sgns_loss,test_auc,total_loss,train_auc
0.8,0.01,4,-10360.399245324516,-2061.8489249169893,50,100,100,True,0.01,1000,2,15,1,1000,16384,1024,0.01,30,15,0003e75868728ce1d50752a53f11ed3d,4256.399409809242,125.12658461899991,25.900374643829696,0.9982762873369901,-8056.996583552682,0.9986389794429276
0.8,0.01,4,-1036.1633361300087,-2061.735499477101,50,100,100,True,0.01,100,2,15,1,1000,16384,1024,0.01,30,15,02f0be49e1769a0507eb6d448a2da6f5,5332.834362023518,183.083712274,14.897290824105818,0.9050496314226268,2251.5418997218576,0.9066850293236441
0.8,0.01,4,-10361.632870509215,-2061.706820399216,50,100,100,True,0.01,1000,2,15,1,10,16384,1024,0.01,30,15,0a2fc965e2a593f8a584da2176724a12,5.710334783838347,125.20229779900001,14.89508607599618,0.9956132391356579,-12402.70976203381,0.9961297417002526
0.8,0.01,4,-10361.63286091507,-2061.8916386496367,50,100,100,True,0.01,1000,2,15,1,1,16384,1024,0.01,30,15,0c4ac2733ab8b3308b8dfa7ff39f56fd,4.714882961924809,167.2926380099998,14.896964055083112,0.9955812889472796,-12403.844754742493,0.994198636942649
0.8,0.01,4,-10361.63285600691,-205.87520557766624,50,10,100,True,0.01,1000,2,15,1,1,16384,1024,0.01,30,15,11a3e250768da61b08ef54cbadecb5ae,7.254102657956648,167.63473440100006,14.899439606533184,0.9173161074957699,-10545.217137283918,0.9133182370526602
0.8,0.01,4,-103.61633285616826,-205.8722177414577,50,10,100,True,0.01,10,2,15,1,10,16384,1024,0.01,30,15,1d1249847f334a318e378ae342569adc,37.90798076407718,131.91215951899994,14.899664729095752,0.9182137480382584,-219.63479728806212,0.9153530478885741
0.8,0.01,4,-103.48350818351818,0.48684309470894305,50,1,100,True,0.01,10,2,15,1,10,16384,1024,0.01,30,15,214b4f0a1aafff224a3e69f1a3fdd2eb,10.460574410809775,124.82220720199984,14.713888340012641,0.9988379716486808,-76.67269995054987,0.9994209541093098
0.8,0.01,4,-1036.163334902969,-205.87321227498578,50,10,100,True,0.01,100,2,15,1,1,16384,1024,0.01,30,15,252639e869277485a19b46ead1c6982b,0.23806934815202638,126.25720030499997,14.89325762213459,0.9937661987455079,-1226.6882232433402,0.9949256648341676
0.8,0.01,4,-10360.530141157973,-204.26154410089825,50,10,100,True,0.01,1000,2,15,1,1000,16384,1024,0.01,30,15,26d0da2408e2b844d307f4fda7f79ce1,1004.0311409737612,126.982112508,18.569593595602004,0.9460490716553265,-9540.0244778631,0.9839294630692859
0.8,0.01,4,-10361.632846412766,-20620.09556337569,50,1000,100,True,0.01,1000,2,15,1,1,16384,1024,0.01,30,15,341a0038e4ea4c79cdca2bd86ad65725,0.9666275577770158,143.40845620700003,14.897280349616722,0.9992105108451719,-30965.841611718533,0.9989971123172331
0.8,0.01,4,-1036.163332504433,-20.190648477556817,50,1,100,True,0.01,100,2,15,1,1,16384,1024,0.01,30,15,346189ac5e300d1e875d076ed8b89839,0.76260272597996,164.69945176200008,14.900683809405477,0.9876633932633667,-1040.684743318455,0.9900743981563203
0.8,0.01,4,-1036.1633361300087,-205.86714240734233,50,10,100,True,0.01,100,2,15,1,100,16384,1024,0.01,30,15,39396b7a10dd55e16fa3179a79fc1de9,676.8027089416425,124.62594864399989,14.898379452211541,0.8575944958771478,-550.3100450315106,0.8630549266706533
0.8,0.01,4,-1036.0749337986967,-205.00947663368146,50,10,100,True,0.01,100,2,15,1,1000,16384,1024,0.01,30,15,3bdd3b4f2099613735c400b422cbe92a,533.0514988540706,126.03738109699998,21.0836800973421,0.9960114982337935,-683.1625202981396,0.9965731551744597
0.8,0.01,4,-1036.1633343172207,-20619.89218848358,50,1000,100,True,0.01,100,2,15,1,1,16384,1024,0.01,30,15,3cbb1803d139f091e00dde4e4ac28352,3.284903302901202,125.79719345800004,14.895978172334416,0.7581389909874908,-21637.73006270045,0.7663712784717767
0.8,0.01,4,-10.344752235508409,0.5067669400547766,50,1,100,True,0.01,1,2,15,1,10,16384,1024,0.01,30,15,43284c951f61c7596ccf554fc65250ed,5.70121554802085,130.82082797600003,14.91064830891444,0.9944163850790065,11.225353824660687,0.9955310277651723
0.8,0.01,4,-1036.1580530524025,-20620.732443226596,50,1000,100,True,0.01,100,2,15,1,100,16384,1024,0.01,30,15,4b3332cb435a18d7123faaaadeb2aafe,86.47178782284533,132.44607677600004,15.062407676913383,0.9977526237494696,-21517.156309030062,0.9983521292823669
0.8,0.01,4,-10361.63285600691,-20.18285174895167,50,1,100,True,0.01,1000,2,15,1,1000,16384,1024,0.01,30,15,4dc2b9510c9a02511996ba6f42349e5a,425.82471169214756,125.09031098300011,14.913571355718174,0.9917798555340281,-9941.06099899116,0.9938245383634081
0.8,0.01,4,-10361.63286091507,-2061.7093379425605,50,100,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,50963519391209a0493d478ef30638a9,479.7756712971637,131.48045102700007,14.972878539734772,0.9930476390088796,-11879.812331809184,0.9938624848069681
0.8,0.01,4,-103.42832950346298,-204.30171068439756,50,10,100,True,0.01,10,2,15,1,100,16384,1024,0.01,30,15,542a86398644dd73450fa0037e1b1e0e,80.53277951372091,167.2293566559997,18.783387376186983,0.9955106790309635,-207.18481650971484,0.9972652593543561
0.8,0.01,4,-10.358955876938076,-20621.02204566478,50,1000,100,True,0.01,1,2,15,1,10,16384,1024,0.01,30,15,5715196f090a90b741f5f8bb296a0a84,7.1875369969955,126.67047043000002,14.896296315588412,0.9935636345511892,-20609.274244186,0.9944367379431591
0.8,0.01,4,-1035.4631513274521,-2061.5652146001653,50,100,100,True,0.01,100,2,15,1,100,16384,1024,0.01,30,15,5ad52472fa8c7d45834600c284edd128,245.51250955826026,126.70165727599988,36.76040860318425,0.9676339799199456,-2753.3552080822656,0.9971799432525694
0.8,0.01,4,-10.282340705001278,-2061.7826014391703,50,100,100,True,0.01,1,2,15,1,100,16384,1024,0.01,30,15,5b4ca807380d399b2a55f4c8318fbe46,127.96642412110015,124.1733940930003,19.81075698844469,0.9985440299156003,-1909.9278013510702,0.9989127294078567
0.8,0.01,4,-10.354146525241811,-204.21059356981857,50,10,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,5f86163b8ce9c800e67417fac1220fe3,5075.728074151387,168.68552638199992,18.5199746331214,0.9664098084522306,4879.971707170257,0.9855002946960771
0.8,0.01,4,-1036.163329464605,-20.187413483933717,50,1,100,True,0.01,100,2,15,1,100,16384,1024,0.01,30,15,612a1bc72086c5bad59a99d48c85ebfb,58.93498938632198,125.82607909300009,15.006440675177178,0.9947563350833517,-982.4078233888646,0.9958284169139339
0.8,0.01,4,-10361.63285600691,-20620.21557369456,50,1000,100,True,0.01,1000,2,15,1,10,16384,1024,0.01,30,15,69f827a26604f2a898bc0434b65fd2de,50.73057428342336,125.5188706150002,14.897837517859939,0.998168934704039,-30912.451924706016,0.9973871221110874
0.8,0.01,4,-10.357834413056656,-206.1238501396771,50,10,100,True,0.01,1,2,15,1,10,16384,1024,0.01,30,15,6af456ac0d73f415780914ee8a0b3860,55.85263651903864,127.03333271199995,14.877375297822443,0.9978462378014181,-139.8005859545006,0.998245496834378
0.8,0.01,4,-103.61633319780172,-2061.758579105497,50,100,100,True,0.01,10,2,15,1,10,16384,1024,0.01,30,15,6fee4e75adc8cc650b3fc80e2f0d76d6,15.45658855251227,169.9349890970002,14.898451729017747,0.9995498218457495,-2134.861529173416,0.9992681337087013
0.8,0.01,4,-10.361633376386402,-20622.20385365224,50,1000,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,7f1a27a32c679cc9d03467414ffcda0f,9989.785054193933,124.68725674400002,14.897918739102815,0.9993137099536339,-10587.003014852493,0.9993624825044174
0.8,0.01,4,-103.5270482409044,-2061.763791012256,50,100,100,True,0.01,10,2,15,1,1000,16384,1024,0.01,30,15,7f2d99a1603890cb21719f8a333f2c91,422.59290887377665,168.8927356449999,34.121426358765945,0.9946250198091168,-1707.98294483464,0.9960422194098869
0.8,0.01,4,-10.361568994089366,-205.89709054787826,50,10,100,True,0.01,1,2,15,1,100,16384,1024,0.01,30,15,865e5fc7518536c0976b1805c0cd2ab2,55.6099348078031,131.3058159100001,14.913761245753838,0.9955573263059959,-145.72830412348222,0.9961971496368147
0.8,0.01,4,-103.61633334771024,-2061.682452408793,50,100,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,872fdd7902e41e3a6f63c489bf6027f1,4.207966302011922,170.36166537499997,14.897246502253326,0.8411567629602744,-2145.9084727094746,0.8506495080037174
0.8,0.01,4,-103.61633312111175,-20621.519296932995,50,1000,100,True,0.01,10,2,15,1,100,16384,1024,0.01,30,15,9edaf5a7d6e468bf41cc9aafbbca8495,448.8972738584253,126.39404154399995,14.875160857606735,0.9899919229923778,-20239.23894874449,0.9920684731148383
0.8,0.01,4,-10361.63285600691,-205.88737386089193,50,10,100,True,0.01,1000,2,15,1,10,16384,1024,0.01,30,15,a6aa5e7378ba040d51927fe525283fdd,33.13719745740832,168.065654796,14.8984117044363,0.9990561914353047,-10519.077502606968,0.998685699923825
0.8,0.01,4,-10.360419463524742,-2061.889077599382,50,100,100,True,0.01,1,2,15,1,10,16384,1024,0.01,30,15,ab6c3d67296878fe69ba16925f3f0f53,40.02800897489661,131.4440354190001,14.898087515853385,0.9973474953608327,-2013.2442457155146,0.9963049435036186
0.8,0.01,4,-103.61562167679561,-20621.223206390427,50,1000,100,True,0.01,10,2,15,1,10,16384,1024,0.01,30,15,ac2c73e24e828720a605ccbdf9e00b78,12.081092062195385,125.77628015100004,14.897005826706755,0.9991536395098586,-20696.841642214207,0.999144455284128
0.8,0.01,4,-10.358286655646342,-20.186247281966487,50,1,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,b0b39c35400b518b67b07169d398cc61,0.872654163617485,125.78493144100003,14.90278992987932,0.9871582607851055,-14.764711661914848,0.9904930668165562
0.8,0.01,4,-103.61615089757778,-20620.512369719676,50,1000,100,True,0.01,10,2,15,1,1000,16384,1024,0.01,30,15,b206004612839599abca6835c8d00fb6,5119.99209656275,165.17881577000026,14.873854739752558,0.9975475035400808,-15488.054218141737,0.9976955675612336
0.8,0.01,4,-1036.1633379427967,-20621.532813968643,50,1000,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,b2529e7c900ecc34b4be308a4d67bb47,69.7870403485057,130.405644423,14.896187399105658,0.8729737190530475,-21567.25156813468,0.8698677942254743
0.8,0.01,4,-1036.163336715757,-2061.847031250416,50,100,100,True,0.01,100,2,15,1,1,16384,1024,0.01,30,15,b2f15f4ab4172217e0260d0e76b9f50a,0.40848580402004614,131.3821147010001,14.896122712716249,0.9908959535725423,-3082.6811438965783,0.9927640159058995
0.8,0.01,4,-10.350441777443248,-20620.144246477656,50,1000,100,True,0.01,1,2,15,1,100,16384,1024,0.01,30,15,b4114d5a6d90ed3d9fe405e7e4cf7dca,479.7756712971637,125.91995836299998,15.970149300433036,0.9930476390088796,-20096.63785558998,0.9938624848069681
0.8,0.01,4,-103.61633334771024,-20.181041413547568,50,1,100,True,0.01,10,2,15,1,1000,16384,1024,0.01,30,15,b59dcf8aaaa148215eca4314f2b3a88d,6014.391003316807,126.32907121699998,14.90324354805059,0.9991966125132273,5906.0758191978075,0.9995496738015787
0.8,0.01,4,-103.49599379661468,0.49117655087281664,50,1,100,True,0.01,10,2,15,1,100,16384,1024,0.01,30,15,bb671f7fad35261143a80851d2ea596b,50.37895582625202,126.62685899600001,14.814544189908473,0.9956606851653999,-37.80777571701149,0.9965359644138839
0.8,0.01,4,-1036.1633343172207,-205.87266008948907,50,10,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,bcebd820f90a7d6da559a7bd3e0841f1,10.271132104530736,167.377659773,14.897443405389797,0.9969182445799699,-1216.8491094087503,0.9970359678930689
0.8,0.01,4,-103.61633334771024,-205.87714849184823,50,10,100,True,0.01,10,2,15,1,1000,16384,1024,0.01,30,15,c1a34faf1cbb238189060a61e85c90bd,5332.182783928143,133.19320410800003,14.898151544193142,0.9051162475653957,5037.780583258318,0.9067499571999418
0.8,0.01,4,-10361.55089389512,-20620.217604017063,50,1000,100,True,0.01,1000,2,15,1,1000,16384,1024,0.01,30,15,c3905858dd6212f976c8f2ae292370b0,914.0067420930836,124.86385002899988,39.223565948269,0.9987887683585782,-29991.638928801964,0.9988653293194427
0.8,0.01,4,-1035.9575923355314,-20620.801372433078,50,1000,100,True,0.01,100,2,15,1,1000,16384,1024,0.01,30,15,cbe452fc5cb7ded4ff36441da4746301,860.5547825063975,124.58122364500014,41.178669892067894,0.9972874290066814,-20735.439580805047,0.9982171764733998
0.8,0.01,4,-103.61633278121401,-20.187499068337747,50,1,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,cdd276eeb57120ee010b39cd30366e30,3.639404170669111,164.56546445999993,14.90146954048906,0.1781227794619077,-104.23848067027743,0.17419501047579483
0.8,0.01,4,-10.360695589468818,-2061.699692017108,50,100,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,cf37b5978d37a6d8cfec4911702cccd2,0.2561310279257608,165.38786228000026,14.892140926533989,0.9966602468088152,-2049.644009767476,0.9954237055662717
0.8,0.01,4,-103.61587052028675,-2061.8961515978517,50,100,100,True,0.01,10,2,15,1,100,16384,1024,0.01,30,15,d4eb0f0b5cd18de4e6231b79edcf6787,250.48156683451717,166.93692200899977,14.976389337205756,0.9970299104883522,-1885.5588272072948,0.9969367147654997
0.8,0.01,4,-1036.1631246195668,-20.18592341397916,50,1,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,db6a5e29a8bbb017edc27b49efcf2384,41.61372525838678,125.09991069900025,14.906156708298697,0.9985679925568842,-998.1815417799232,0.9979353219352536
0.8,0.01,4,-10361.632889919676,-20.188360563736403,50,1,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,dd0c57672414857f583e28a098404ab6,30.771202344287847,168.20036402999995,14.903554767372304,0.9934642694653327,-10336.140922255085,0.9942612369096181
0.8,0.01,4,-10.339704629511418,-20.189266660772862,50,1,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,dfbe6366fae8266f394c0fa2f702425d,1376.6122022819923,126.16401862700013,15.546634041764582,0.9968474749127121,1361.9918010422791,0.9971433965976252
0.8,0.01,4,-10.360019419585067,-205.86354392669713,50,10,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,dfd9cf3b8f36fe75184dd2213f2c8643,3.7795895443867003,124.71422210499986,14.899244823891971,0.9994795314313173,-197.4678849047272,0.9992541966829188
0.8,0.01,4,-103.6162797205572,-205.8723822623785,50,10,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,e0ea073e38a582ce7a93ac39d53c634c,6.426951751185453,124.99583880399996,14.896206081913066,0.9984373162864169,-287.7517889488698,0.9977218643147567
0.8,0.01,4,-1035.9972693785023,0.49681333391954147,50,1,100,True,0.01,100,2,15,1,1000,16384,1024,0.01,30,15,e3f20cb98c948e8034dd842bad76ba24,495.4806173054498,124.67222668300019,14.86130241300435,0.9974979807480944,-524.7380933584557,0.998211141152919
0.8,0.01,4,-10361.632889919676,-20621.972226050988,50,1000,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,e6c07a8812025cace2e2f33f738d19e0,26.02506179538182,125.17095932800021,14.896793558917583,0.9940216405015924,-30939.029957013907,0.9952102530174727
0.8,0.01,4,-10361.63290442198,-205.86859938989213,50,10,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,e723316e537e3d76d121406e83ef28fa,73.33372959981199,167.31246765499998,14.897526922252862,0.9983079180234847,-10428.709733447013,0.9990996924786131
0.8,0.01,4,-10361.632831910463,-20.187074612001105,50,1,100,True,0.01,1000,2,15,1,10,16384,1024,0.01,30,15,eb92b460d28c032ce7a0fa35f0e74431,36.329051035914596,129.95490889999996,14.903865393831714,0.9973887111038408,-10327.96237190505,0.9961343468019302
0.8,0.01,4,-10.361633333899185,-2061.9744187780057,50,100,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,f47d291d44f8d5e90098eedca2a83a79,1555.2913764637663,124.70369624400018,14.89763416017242,0.9956889610821146,-500.4740445955502,0.9955050048833349
0.8,0.01,4,-10361.63286091507,-20.18626275863566,50,1,100,True,0.01,1000,2,15,1,1,16384,1024,0.01,30,15,f487cc3818177cb2d21d8e4df2d4cabc,0.8726540488043415,167.04480352099972,14.903002012322847,0.9871582607851055,-10366.040182197701,0.99049308203165
0.8,0.01,4,-103.61627744242219,-20620.129298399937,50,1000,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,f5f8c9fd89fc0eea837154747afcb7ac,10.28221004283153,167.85298837799996,14.890363973983835,0.9984877975840545,-20698.071759187955,0.9978328685663205
0.8,0.01,4,-10.361633291411968,0.4922798717567587,50,1,100,True,0.01,1,2,15,1,100,16384,1024,0.01,30,15,fa57850092430549585efd29f7734d87,48.52161371971678,171.140253369,14.834507661141991,0.9957159589912941,53.63170543742584,0.9968639764744626
0.8,0.01,4,-1036.1633379427967,-2061.8365489884277,50,100,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,fa69f50194f011bcc938ec74a8fde6ea,12.081092062195385,132.42222019200017,14.897049587752525,0.9991536395098586,-3070.0034426382513,0.999144455284128
0.8,0.01,4,-10.35821655370645,-20620.01606578718,50,1000,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,fbb378324f3cd45bfed6e9299076b311,0.44694873720283956,127.18961032900006,14.897002150865724,0.9898984686913713,-20615.00749609621,0.9921645361444389
